gender,age,race,race_7_TEXT,education,Q1,Q1_5_TEXT,Q2,Q3,Attention Check Q1,AttentionCheck2,Q1,Q2,Q2-1,Q2-2,Q2-2_4_TEXT,Q1,Q2,Q2-read,Q2-not read,Q3,Q3_6_TEXT,Q4,Q48,Q48_6_TEXT,User C&C - Q1,Readability - Q1,Accessibility - Q1,Q56,Q59,location,Q2,Q2_7_TEXT,Attention Check Q3,Q1
Male,26 - 35,Asian/Pacific Islander,,Bachelor's Degree,"Amazon Alexa,Google Home",,1 - 2 years,Daily,A document specifying the collection and usage of personal information,Skill,Yes,Yes,"Name,Start date,Phone number",,,Yes,Yes,10-30 min,,"Too lengthy, takes too much time to read.,Difficult to locate essential information, such as personal data collection.",,Yes,Yes,,Second,Second,First,Yes,Yes,,"Compliance with Regulations: Whether this skill is compliant with relevant data protection laws and regulations (e.g., GDPR, CCPA), especially for sensitive data related to children and health.,User Control and Consent: Users should have the right to be informed, with clear options to opt in or out, ensuring control over their privacy settings and data processing activities.,Easy-to-understand: Clearly written and easily understandable language without using complex or difficult-to-understand technical terms.",,Privacy Notice through Voice,Yes
Male,26 - 35,Caucasian/White,,Bachelor's Degree,"Amazon Alexa,Google Home",,Over 3 years,Less than once a week,A document specifying the collection and usage of personal information,Skill,Yes,Yes,"Name,Start date,Phone number",,,Yes,No,,5-10 min,"Too lengthy, takes too much time to read.,Difficult to locate essential information, such as personal data collection.",,Yes,Yes,,First,First,First,No,Yes,,"Readability: When covering all data collection, the summary should not be excessively long and allow users to quickly grasp the essential details.,User Control and Consent: Users should have the right to be informed, with clear options to opt in or out, ensuring control over their privacy settings and data processing activities.,Easy-to-understand: Clearly written and easily understandable language without using complex or difficult-to-understand technical terms.,Precision: Accurately summarize how user data is collected without hiding or omit., Completeness: Completely summarize how user data is collected without hiding or omit.",,Privacy Notice through Voice,No I think everything made sense and worked well.
Male,26 - 35,Asian/Pacific Islander,,Bachelor's Degree,Amazon Alexa,,1 - 2 years,Serval times a week,A document specifying the collection and usage of personal information,Skill,Maybe,Yes,"Name,Start date,Phone number",,,Yes,Yes,Less than 5 min,,"Difficult to locate essential information, such as personal data collection.,Lack of accessibility features for those who prefer or require auditory information.",,Maybe,Yes,,First,Second,First,Yes,Maybe,,"Readability: When covering all data collection, the summary should not be excessively long and allow users to quickly grasp the essential details.,Compliance with Regulations: Whether this skill is compliant with relevant data protection laws and regulations (e.g., GDPR, CCPA), especially for sensitive data related to children and health.,Accessibility: Conversation-friendly with Alexa, prioritizing auditory information for enhanced usability, especially for the people with visual impairments.,User Control and Consent: Users should have the right to be informed, with clear options to opt in or out, ensuring control over their privacy settings and data processing activities.,Easy-to-understand: Clearly written and easily understandable language without using complex or difficult-to-understand technical terms.,Precision: Accurately summarize how user data is collected without hiding or omit., Completeness: Completely summarize how user data is collected without hiding or omit.",,Privacy Notice through Voice,No
Female,26 - 35,Caucasian/White,,Bachelor's Degree,Other Voice Assistants (Please provide the name),Siri,Over 3 years,Less than once a week,A document specifying the collection and usage of personal information,Skill,No,Yes,"Name,Phone number",,,No,No,,Less than 5 min,"Too lengthy, takes too much time to read.,Use of legal terminology, making the content difficult to comprehend.,Difficult to locate essential information, such as personal data collection.",,Yes,Yes,,Second,First,First,No,Yes,,"Readability: When covering all data collection, the summary should not be excessively long and allow users to quickly grasp the essential details.,User Control and Consent: Users should have the right to be informed, with clear options to opt in or out, ensuring control over their privacy settings and data processing activities.,Easy-to-understand: Clearly written and easily understandable language without using complex or difficult-to-understand technical terms.,Precision: Accurately summarize how user data is collected without hiding or omit., Completeness: Completely summarize how user data is collected without hiding or omit.",,Privacy Notice through Voice,No
Male,26 - 35,Caucasian/White,,High school graduate,Amazon Alexa,,Over 3 years,Daily,A document specifying the collection and usage of personal information,Skill,Yes,Yes,"Name,Start date,Phone number",,,Yes,No,,Less than 5 min,"Too lengthy, takes too much time to read.,Difficult to locate essential information, such as personal data collection.",,Yes,Yes,,First,First,First,No,Yes,,"Readability: When covering all data collection, the summary should not be excessively long and allow users to quickly grasp the essential details.,Accessibility: Conversation-friendly with Alexa, prioritizing auditory information for enhanced usability, especially for the people with visual impairments.,User Control and Consent: Users should have the right to be informed, with clear options to opt in or out, ensuring control over their privacy settings and data processing activities.,Easy-to-understand: Clearly written and easily understandable language without using complex or difficult-to-understand technical terms.,Precision: Accurately summarize how user data is collected without hiding or omit.",,Privacy Notice through Voice,can't really think of any recommendations
Male,26 - 35,Asian/Pacific Islander,,Master's Degree,Amazon Alexa,,Over 3 years,Serval times a week,A document specifying the collection and usage of personal information,Skill,Maybe,Yes,"Name,Start date,Phone number",,,Yes,No,,10-30 min,"Too lengthy, takes too much time to read.,Use of legal terminology, making the content difficult to comprehend.,Difficult to locate essential information, such as personal data collection.",,Yes,Yes,,First,First,First,No,Yes,,"Readability: When covering all data collection, the summary should not be excessively long and allow users to quickly grasp the essential details.,Accessibility: Conversation-friendly with Alexa, prioritizing auditory information for enhanced usability, especially for the people with visual impairments.,User Control and Consent: Users should have the right to be informed, with clear options to opt in or out, ensuring control over their privacy settings and data processing activities.,Easy-to-understand: Clearly written and easily understandable language without using complex or difficult-to-understand technical terms., Completeness: Completely summarize how user data is collected without hiding or omit.",,Privacy Notice through Voice,none
Female,36 - 65,Hispanic/Latino,,High school graduate,Amazon Alexa,,1 - 2 years,Serval times a week,A document specifying the collection and usage of personal information,Skill,Yes,Yes,"Name,Phone number",,,No,No,,5-10 min,"Too lengthy, takes too much time to read.,Difficult to locate essential information, such as personal data collection.",,Yes,Yes,,First,First,First,Maybe,Yes,,"Readability: When covering all data collection, the summary should not be excessively long and allow users to quickly grasp the essential details.,User Control and Consent: Users should have the right to be informed, with clear options to opt in or out, ensuring control over their privacy settings and data processing activities.,Easy-to-understand: Clearly written and easily understandable language without using complex or difficult-to-understand technical terms.",,Privacy Notice through Voice,No
Female,26 - 35,Caucasian/White,,Bachelor's Degree,Amazon Alexa,,2 - 3 years,Serval times a week,A document specifying the collection and usage of personal information,Skill,Yes,Yes,"Name,Start date,Phone number",,,No,No,,10-30 min,"Too lengthy, takes too much time to read.,Use of legal terminology, making the content difficult to comprehend.",,Yes,Yes,,First,First,First,Maybe,Yes,,"Readability: When covering all data collection, the summary should not be excessively long and allow users to quickly grasp the essential details.,User Control and Consent: Users should have the right to be informed, with clear options to opt in or out, ensuring control over their privacy settings and data processing activities.,Easy-to-understand: Clearly written and easily understandable language without using complex or difficult-to-understand technical terms.",,Privacy Notice through Voice,No
Male,26 - 35,Caucasian/White,,Bachelor's Degree,"Amazon Alexa,Google Home",,Over 3 years,Less than once a week,A document specifying the collection and usage of personal information,Skill,Yes,Yes,"Name,Start date,Phone number",,,Yes,No,,10-30 min,"Too lengthy, takes too much time to read.,Use of legal terminology, making the content difficult to comprehend.,Lack of accessibility features for those who prefer or require auditory information.",,Yes,Yes,,First,First,First,Maybe,Yes,,"Compliance with Regulations: Whether this skill is compliant with relevant data protection laws and regulations (e.g., GDPR, CCPA), especially for sensitive data related to children and health.,Accessibility: Conversation-friendly with Alexa, prioritizing auditory information for enhanced usability, especially for the people with visual impairments.,User Control and Consent: Users should have the right to be informed, with clear options to opt in or out, ensuring control over their privacy settings and data processing activities.,Easy-to-understand: Clearly written and easily understandable language without using complex or difficult-to-understand technical terms.,Precision: Accurately summarize how user data is collected without hiding or omit.",,Privacy Notice through Voice,"Not really, no."
Male,26 - 35,Caucasian/White,,Bachelor's Degree,"Amazon Alexa,Google Home",,Over 3 years,Serval times a week,A document specifying the collection and usage of personal information,Skill,Yes,Yes,"Name,Start date,Phone number",,,Yes,No,,5-10 min,"Too lengthy, takes too much time to read.,Use of legal terminology, making the content difficult to comprehend.,Difficult to locate essential information, such as personal data collection.",,Maybe,Yes,,First,First,First,No,Yes,,"Compliance with Regulations: Whether this skill is compliant with relevant data protection laws and regulations (e.g., GDPR, CCPA), especially for sensitive data related to children and health.,Accessibility: Conversation-friendly with Alexa, prioritizing auditory information for enhanced usability, especially for the people with visual impairments.,User Control and Consent: Users should have the right to be informed, with clear options to opt in or out, ensuring control over their privacy settings and data processing activities.,Easy-to-understand: Clearly written and easily understandable language without using complex or difficult-to-understand technical terms.",,Privacy Notice through Voice,Make it accessible and easy to understand for everyone. Do not hide anything.
Male,26 - 35,Caucasian/White,,High school graduate,Amazon Alexa,,Over 3 years,Serval times a week,A document specifying the collection and usage of personal information,Skill,Yes,Yes,"Name,Start date,Phone number",,,Yes,No,,5-10 min,"Too lengthy, takes too much time to read.,Use of legal terminology, making the content difficult to comprehend.",,Yes,Yes,,First,First,First,No,Yes,,"Readability: When covering all data collection, the summary should not be excessively long and allow users to quickly grasp the essential details.,Accessibility: Conversation-friendly with Alexa, prioritizing auditory information for enhanced usability, especially for the people with visual impairments.,User Control and Consent: Users should have the right to be informed, with clear options to opt in or out, ensuring control over their privacy settings and data processing activities.,Easy-to-understand: Clearly written and easily understandable language without using complex or difficult-to-understand technical terms.",,Privacy Notice through Voice,no
Male,26 - 35,Asian/Pacific Islander,,Bachelor's Degree,"Amazon Alexa,Google Home",,Over 3 years,Serval times a week,A document specifying the collection and usage of personal information,Skill,Yes,Yes,"Name,Start date,Phone number",,,Yes,No,,Less than 5 min,"Too lengthy, takes too much time to read.,Use of legal terminology, making the content difficult to comprehend.,Difficult to locate essential information, such as personal data collection.",,Yes,Yes,,First,First,First,No,Yes,,"Readability: When covering all data collection, the summary should not be excessively long and allow users to quickly grasp the essential details.,Compliance with Regulations: Whether this skill is compliant with relevant data protection laws and regulations (e.g., GDPR, CCPA), especially for sensitive data related to children and health.,User Control and Consent: Users should have the right to be informed, with clear options to opt in or out, ensuring control over their privacy settings and data processing activities.,Easy-to-understand: Clearly written and easily understandable language without using complex or difficult-to-understand technical terms., Completeness: Completely summarize how user data is collected without hiding or omit.",,Privacy Notice through Voice,No
Male,36 - 65,Caucasian/White,,High school graduate,Amazon Alexa,,1 - 2 years,Serval times a week,A document specifying the collection and usage of personal information,Skill,No,Yes,"Name,Start date,Phone number",,,No,No,,Less than 5 min,"Too lengthy, takes too much time to read.,Use of legal terminology, making the content difficult to comprehend.",,Yes,Yes,,First,First,Second,No,Yes,,Easy-to-understand: Clearly written and easily understandable language without using complex or difficult-to-understand technical terms.,,Privacy Notice through Voice,no
Female,36 - 65,Caucasian/White,,Bachelor's Degree,Apple HomePod,,1 - 2 years,Multiple times per day,A document specifying the collection and usage of personal information,Skill,Yes,Yes,"Name,Start date,Phone number",,,Yes,No,,More than 30 minutes,"Too lengthy, takes too much time to read.,Use of legal terminology, making the content difficult to comprehend.",,Maybe,Yes,,First,First,First,No,Yes,Figure 1,"Easy-to-understand: Clearly written and easily understandable language without using complex or difficult-to-understand technical terms.,Precision: Accurately summarize how user data is collected without hiding or omit., Completeness: Completely summarize how user data is collected without hiding or omit.",,Privacy Notice through Voice,no
Male,36 - 65,Caucasian/White,,High school graduate,"Amazon Alexa,Google Home",,Over 3 years,Multiple times per day,A document specifying the collection and usage of personal information,Skill,Yes,Yes,"Name,Start date,Phone number",,,Yes,No,,5-10 min,"Too lengthy, takes too much time to read.",,Yes,Yes,,First,First,First,No,Yes,Figure 1,"Readability: When covering all data collection, the summary should not be excessively long and allow users to quickly grasp the essential details.,Compliance with Regulations: Whether this skill is compliant with relevant data protection laws and regulations (e.g., GDPR, CCPA), especially for sensitive data related to children and health.,User Control and Consent: Users should have the right to be informed, with clear options to opt in or out, ensuring control over their privacy settings and data processing activities.,Easy-to-understand: Clearly written and easily understandable language without using complex or difficult-to-understand technical terms.,Precision: Accurately summarize how user data is collected without hiding or omit.",,Privacy Notice through Voice,Nope
Male,36 - 65,Asian/Pacific Islander,,Bachelor's Degree,Amazon Alexa,,Less than 1 year,Serval times a week,A document specifying the collection and usage of personal information,Skill,Maybe,Yes,"Name,Start date,Phone number",,,Yes,Yes,5-10 min,,"Too lengthy, takes too much time to read.,Use of legal terminology, making the content difficult to comprehend.",,Maybe,Yes,,First,First,First,Maybe,Yes,Figure 1,"Readability: When covering all data collection, the summary should not be excessively long and allow users to quickly grasp the essential details.,Accessibility: Conversation-friendly with Alexa, prioritizing auditory information for enhanced usability, especially for the people with visual impairments.,User Control and Consent: Users should have the right to be informed, with clear options to opt in or out, ensuring control over their privacy settings and data processing activities.,Easy-to-understand: Clearly written and easily understandable language without using complex or difficult-to-understand technical terms.",,Privacy Notice through Voice,No
Male,36 - 65,Caucasian/White,,Bachelor's Degree,Amazon Alexa,,1 - 2 years,Once a week,A document specifying the collection and usage of personal information,Skill,Yes,Yes,"Name,Phone number",,,Yes,No,,Less than 5 min,"Too lengthy, takes too much time to read.,Difficult to locate essential information, such as personal data collection.",,Yes,No - Please provide your opinions.,It would still be just reading the wordy legal privacy notice. I want it boiled down.,First,First,First,No,Yes,Figure 1,"User Control and Consent: Users should have the right to be informed, with clear options to opt in or out, ensuring control over their privacy settings and data processing activities.,Easy-to-understand: Clearly written and easily understandable language without using complex or difficult-to-understand technical terms.,Precision: Accurately summarize how user data is collected without hiding or omit.",,Privacy Notice through Voice,No. I like the clarity of it.
Male,36 - 65,Caucasian/White,,High school graduate,Amazon Alexa,,2 - 3 years,Serval times a week,A document specifying the collection and usage of personal information,Skill,Yes,Yes,"Name,Start date,Phone number",,,No,No,,5-10 min,"Too lengthy, takes too much time to read.,Difficult to locate essential information, such as personal data collection.",,Yes,Yes,,First,First,First,Maybe,Yes,Figure 1,"Readability: When covering all data collection, the summary should not be excessively long and allow users to quickly grasp the essential details.,User Control and Consent: Users should have the right to be informed, with clear options to opt in or out, ensuring control over their privacy settings and data processing activities.,Easy-to-understand: Clearly written and easily understandable language without using complex or difficult-to-understand technical terms., Completeness: Completely summarize how user data is collected without hiding or omit.",,Privacy Notice through Voice,I think it should be stated early in the conversation before any information is given out.
Male,26 - 35,Caucasian/White,,Bachelor's Degree,Amazon Alexa,,Over 3 years,Serval times a week,A document specifying the collection and usage of personal information,Skill,No,Yes,"Name,Start date,Phone number",,,No,No,,5-10 min,"Too lengthy, takes too much time to read.",,Yes,Yes,,First,First,First,Maybe,Yes,Figure 1,"Readability: When covering all data collection, the summary should not be excessively long and allow users to quickly grasp the essential details.,Accessibility: Conversation-friendly with Alexa, prioritizing auditory information for enhanced usability, especially for the people with visual impairments.,Easy-to-understand: Clearly written and easily understandable language without using complex or difficult-to-understand technical terms.",,Privacy Notice through Voice,No.
Female,36 - 65,Caucasian/White,,High school graduate,Amazon Alexa,,Over 3 years,Multiple times per day,A document specifying the collection and usage of personal information,Skill,No,Yes,"Name,Start date,Phone number",,,No,No,,5-10 min,"Too lengthy, takes too much time to read.,Use of legal terminology, making the content difficult to comprehend.,Difficult to locate essential information, such as personal data collection.,Lack of accessibility features for those who prefer or require auditory information.",,No,Yes,,Neither first nor second,Second,First,No,Yes,Figure 3,"Compliance with Regulations: Whether this skill is compliant with relevant data protection laws and regulations (e.g., GDPR, CCPA), especially for sensitive data related to children and health.,Accessibility: Conversation-friendly with Alexa, prioritizing auditory information for enhanced usability, especially for the people with visual impairments.,Easy-to-understand: Clearly written and easily understandable language without using complex or difficult-to-understand technical terms.",,Privacy Notice through Voice,no
Male,36 - 65,Mixed Race,,Bachelor's Degree,Google Home,,Over 3 years,Multiple times per day,A document specifying the collection and usage of personal information,Skill,Yes,Yes,"Name,Phone number",,,No,No,,10-30 min,"Too lengthy, takes too much time to read.,Use of legal terminology, making the content difficult to comprehend.",,Yes,Yes,,First,Neither first nor second,First,No,Yes,Figure 1,"Accessibility: Conversation-friendly with Alexa, prioritizing auditory information for enhanced usability, especially for the people with visual impairments.,Easy-to-understand: Clearly written and easily understandable language without using complex or difficult-to-understand technical terms.,Precision: Accurately summarize how user data is collected without hiding or omit.",,Privacy Notice through Voice,no
Male,26 - 35,Caucasian/White,,High school graduate,Amazon Alexa,,Over 3 years,Multiple times per day,A document specifying the collection and usage of personal information,Skill,Maybe,Yes,"Start date,Phone number","After reading this question, I now consider name and phone number to be personal information.",,No,No,,Less than 5 min,"Too lengthy, takes too much time to read.,Use of legal terminology, making the content difficult to comprehend.,Difficult to locate essential information, such as personal data collection.",,Yes,Yes,,First,First,First,No,Yes,Figure 1,"Readability: When covering all data collection, the summary should not be excessively long and allow users to quickly grasp the essential details.,Easy-to-understand: Clearly written and easily understandable language without using complex or difficult-to-understand technical terms.,Precision: Accurately summarize how user data is collected without hiding or omit.",,Privacy Notice through Voice,none
Female,36 - 65,Caucasian/White,,Bachelor's Degree,Amazon Alexa,,2 - 3 years,Serval times a week,A document specifying the collection and usage of personal information,Skill,No,Yes,"Name,Phone number",,,No,No,,10-30 min,"Too lengthy, takes too much time to read.,Use of legal terminology, making the content difficult to comprehend.,Difficult to locate essential information, such as personal data collection.",,Yes,Yes,,First,First,First,No,Yes,Figure 1,"Readability: When covering all data collection, the summary should not be excessively long and allow users to quickly grasp the essential details.,Accessibility: Conversation-friendly with Alexa, prioritizing auditory information for enhanced usability, especially for the people with visual impairments.,Easy-to-understand: Clearly written and easily understandable language without using complex or difficult-to-understand technical terms.,Precision: Accurately summarize how user data is collected without hiding or omit., Completeness: Completely summarize how user data is collected without hiding or omit.",,Privacy Notice through Voice,No
